region	chr	midPos	Nsites
(752,1492)(51242,52014)(50000,100000)	JASDQU010010917.1	75000	742	0.345979
(1935,2082)(197025,197394)(150000,200000)	JASDQU010010949.1	175000	149	0.029136
(168,916)(72123,98030)(50000,100000)	JASDQU010010950.1	75000	750	0.156403
(106,774)(191001,191675)(150000,200000)	JASDQU010010971.1	175000	670	0.371654
(775,801)(201347,201696)(200000,250000)	JASDQU010010971.1	225000	28	-0.000630
(212,1306)(70545,95025)(50000,100000)	JASDQU010010976.1	75000	1096	0.350987
(342,1541)(147762,148973)(100000,150000)	JASDQU010010977.1	125000	1201	-0.004763
(25,567)(86335,86897)(50000,100000)	JASDQU010011012.1	75000	544	0.072256
(1642,1752)(114986,115109)(100000,150000)	JASDQU010011022.1	125000	112	0.109229
(482,912)(50181,83659)(50000,100000)	JASDQU010011027.1	75000	432	0.073063
(377,715)(272017,272600)(250000,300000)	JASDQU010011044.1	275000	340	0.159562
(687,715)(72923,72994)(50000,100000)	JASDQU010011046.1	75000	30	0.024308
(459,482)(56864,56899)(50000,100000)	JASDQU010011050.1	75000	25	0.043311
(545,1607)(59416,83579)(50000,100000)	JASDQU010011054.1	75000	1064	0.568810
(832,1197)(170332,170726)(150000,200000)	JASDQU010011056.1	175000	367	0.787658
(421,556)(291610,291746)(250000,300000)	JASDQU010011088.1	275000	137	0.743259
(557,712)(342616,342773)(300000,350000)	JASDQU010011088.1	325000	157	0.036053
(810,1532)(308529,309254)(300000,350000)	JASDQU010011092.1	325000	724	0.403235
(1925,2165)(87678,87963)(50000,100000)	JASDQU010011112.1	75000	242	0.167648
(267,1251)(109830,124652)(100000,150000)	JASDQU010011116.1	125000	986	0.421001
(678,701)(50567,50594)(50000,100000)	JASDQU010011134.1	75000	25	0.077693
(55,1098)(246273,247331)(200000,250000)	JASDQU010011137.1	225000	1045	0.136846
(752,1384)(156295,156932)(150000,200000)	JASDQU010011186.1	175000	634	0.310129
(279,517)(208173,208508)(200000,250000)	JASDQU010011208.1	225000	240	0.023650
(518,554)(349566,349608)(300000,350000)	JASDQU010011208.1	325000	38	0.039628
(463,1725)(122990,142549)(100000,150000)	JASDQU010011232.1	125000	1264	0.344440
(4380,4704)(381608,382052)(350000,400000)	JASDQU010011246.1	375000	326	0.201674
(83,194)(74070,74188)(50000,100000)	JASDQU010011254.1	75000	113	0.144796
(195,2222)(108512,142143)(100000,150000)	JASDQU010011254.1	125000	2029	0.394950
(42,878)(55962,76381)(50000,100000)	JASDQU010011265.1	75000	838	0.194980
(192,1063)(198128,199021)(150000,200000)	JASDQU010011279.1	175000	873	0.499522
(660,1998)(157616,158990)(150000,200000)	JASDQU010011285.1	175000	1340	0.299663
(1612,2480)(187072,187946)(150000,200000)	JASDQU010011294.1	175000	870	0.100305
(367,1692)(132393,133729)(100000,150000)	JASDQU010011299.1	125000	1327	0.640853
(1290,1343)(150158,150231)(150000,200000)	JASDQU010011325.1	175000	55	0.185111
(810,1368)(154650,181756)(150000,200000)	JASDQU010011334.1	175000	560	0.054080
(253,1105)(143567,145024)(100000,150000)	JASDQU010011340.1	125000	854	0.066140
(326,604)(96327,96698)(50000,100000)	JASDQU010011404.1	75000	280	0.063637
(605,1058)(394581,395088)(350000,400000)	JASDQU010011404.1	375000	455	0.296207
(1059,1150)(452152,452254)(450000,500000)	JASDQU010011404.1	475000	93	0.053153
(439,2516)(251748,270767)(250000,300000)	JASDQU010011406.1	275000	2079	0.262125
(868,1765)(102357,132110)(100000,150000)	JASDQU010011412.1	125000	899	0.198865
(1932,6533)(75730,98888)(50000,100000)	JASDQU010011434.1	75000	4603	0.197009
(137,208)(61537,61616)(50000,100000)	JASDQU010011435.1	75000	73	0.300102
(900,1558)(210251,210986)(200000,250000)	JASDQU010011445.1	225000	660	0.332074
(1032,1517)(55978,56625)(50000,100000)	JASDQU010011454.1	75000	487	0.002126
(1518,1704)(145302,145490)(100000,150000)	JASDQU010011454.1	125000	188	0.012938
(1705,1957)(324248,347464)(300000,350000)	JASDQU010011454.1	325000	254	0.164330
(673,693)(75329,75349)(50000,100000)	JASDQU010011495.1	75000	22	0.554560
(776,1731)(98202,99299)(50000,100000)	JASDQU010011509.1	75000	957	0.690378
(1824,1956)(140762,140899)(100000,150000)	JASDQU010011523.1	125000	134	0.258888
(2012,2754)(200359,203178)(200000,250000)	JASDQU010011528.1	225000	744	0.847287
(43,630)(91798,92448)(50000,100000)	JASDQU010011550.1	75000	589	0.002479
(1932,4482)(106465,111718)(100000,150000)	JASDQU010011558.1	125000	2552	0.805524
(963,2292)(260576,265564)(250000,300000)	JASDQU010011594.1	275000	1331	0.378723
(302,1879)(277957,279538)(250000,300000)	JASDQU010011655.1	275000	1579	0.309672
(1859,2557)(229932,231939)(200000,250000)	JASDQU010011712.1	225000	700	0.231614
(1306,2536)(70976,72730)(50000,100000)	JASDQU010011713.1	75000	1232	0.236413
(2537,2816)(248913,249380)(200000,250000)	JASDQU010011713.1	225000	281	0.026011
(264,344)(50461,50565)(50000,100000)	JASDQU010011725.1	75000	82	0.065368
(311,648)(205264,205603)(200000,250000)	JASDQU010011735.1	225000	339	0.553424
(371,1530)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1161	0.045894
(277,1738)(236799,238390)(200000,250000)	JASDQU010011741.1	225000	1463	0.176712
(205,2384)(57745,90008)(50000,100000)	JASDQU010011755.1	75000	2181	0.059435
(2385,2498)(180429,180560)(150000,200000)	JASDQU010011755.1	175000	115	0.158430
(706,4125)(250000,256913)(250000,300000)	JASDQU010011766.1	275000	3421	0.284811
(83,858)(50262,54133)(50000,100000)	JASDQU010011811.1	75000	777	0.806698
(1590,2641)(184307,187827)(150000,200000)	JASDQU010011818.1	175000	1053	0.203304
(193,508)(69509,69834)(50000,100000)	JASDQU010011822.1	75000	317	0.109732
(521,1242)(67886,68661)(50000,100000)	JASDQU010011849.1	75000	723	0.661771
(338,829)(217972,243921)(200000,250000)	JASDQU010011854.1	225000	493	0.012843
(830,1136)(257174,258056)(250000,300000)	JASDQU010011854.1	275000	308	0.058908
(75,312)(100625,100999)(100000,150000)	JASDQU010011859.1	125000	239	0.768875
(1290,1395)(236741,236848)(200000,250000)	JASDQU010011868.1	225000	107	0.119516
(130,538)(139600,140165)(100000,150000)	JASDQU010011895.1	125000	410	0.279265
(684,1012)(102008,133336)(100000,150000)	JASDQU010011928.1	125000	330	0.051766
(1442,1469)(174306,174362)(150000,200000)	JASDQU010011939.1	175000	29	0.090680
(153,2146)(175433,192194)(150000,200000)	JASDQU010011946.1	175000	1995	0.176183
(67,583)(113208,113736)(100000,150000)	JASDQU010011954.1	125000	518	0.072548
(481,1388)(74039,82792)(50000,100000)	JASDQU010011990.1	75000	909	0.480656
(1592,2434)(50000,50844)(50000,100000)	JASDQU010012037.1	75000	844	0.523666
(86,254)(52506,79434)(50000,100000)	JASDQU010012102.1	75000	170	-0.020061
(255,2447)(114077,117530)(100000,150000)	JASDQU010012175.1	125000	2194	0.266524
(51,1609)(211440,213001)(200000,250000)	JASDQU010012204.1	225000	1560	0.650367
(283,502)(138535,138767)(100000,150000)	JASDQU010012216.1	125000	221	0.668020
(526,1142)(306617,307267)(300000,350000)	JASDQU010012224.1	325000	618	0.356671
(1143,1154)(356076,356090)(350000,400000)	JASDQU010012224.1	375000	13	0.066980
(340,1515)(148817,149999)(100000,150000)	JASDQU010012231.1	125000	1177	0.496652
(692,1437)(115162,115929)(100000,150000)	JASDQU010012247.1	125000	747	0.215628
(291,1078)(51597,52386)(50000,100000)	JASDQU010012267.1	75000	789	0.389617
(1126,1227)(60583,60918)(50000,100000)	JASDQU010012272.1	75000	103	0.100742
(34,49)(188646,188715)(150000,200000)	JASDQU010012284.1	175000	17	0.048885
(4644,5526)(51834,81665)(50000,100000)	JASDQU010012294.1	75000	884	0.331079
(167,2892)(88190,91035)(50000,100000)	JASDQU010012295.1	75000	2727	0.206113
(367,1149)(107637,108435)(100000,150000)	JASDQU010012330.1	125000	784	0.162125
(1150,3921)(443411,446819)(400000,450000)	JASDQU010012330.1	425000	2773	0.366922
(3922,3977)(499847,499909)(450000,500000)	JASDQU010012330.1	475000	57	-0.003501
(286,1194)(161036,161994)(150000,200000)	JASDQU010012341.1	175000	910	0.448909
(49,190)(53240,53381)(50000,100000)	JASDQU010012369.1	75000	143	0.034002
(1337,6336)(210777,235479)(200000,250000)	JASDQU010012376.1	225000	5001	0.051447
(939,1683)(150000,165608)(150000,200000)	JASDQU010012403.1	175000	746	0.048002
(889,973)(51968,52098)(50000,100000)	JASDQU010012404.1	75000	86	0.084130
(238,243)(158184,158189)(150000,200000)	JASDQU010012410.1	175000	7	0.081932
(6,1073)(118935,121392)(100000,150000)	JASDQU010012424.1	125000	1069	0.561981
(878,1207)(284654,285024)(250000,300000)	JASDQU010012430.1	275000	331	0.262024
(1403,2781)(53401,80806)(50000,100000)	JASDQU010012433.1	75000	1380	0.073341
(2457,2615)(150000,174751)(150000,200000)	JASDQU010012436.1	175000	160	0.208772
(2616,5205)(244025,246922)(200000,250000)	JASDQU010012436.1	225000	2591	0.250497
(607,645)(128041,128080)(100000,150000)	JASDQU010012453.1	125000	40	0.100561
(330,1694)(82668,93692)(50000,100000)	JASDQU010012481.1	75000	1366	0.288718
(794,847)(66449,69729)(50000,100000)	JASDQU010012496.1	75000	55	0.004320
(848,1337)(126856,127415)(100000,150000)	JASDQU010012496.1	125000	491	0.073054
(1338,1928)(162066,162657)(150000,200000)	JASDQU010012496.1	175000	592	0.209225
(398,2442)(120111,139739)(100000,150000)	JASDQU010012519.1	125000	2046	0.479678
(917,2229)(183700,185017)(150000,200000)	JASDQU010012534.1	175000	1314	0.423597
(2230,2979)(392741,393499)(350000,400000)	JASDQU010012534.1	375000	751	0.441122
(180,1758)(53560,89702)(50000,100000)	JASDQU010012559.1	75000	1580	0.106724
(465,644)(145091,145445)(100000,150000)	JASDQU010012661.1	125000	181	0.048168
(2103,4634)(50000,85702)(50000,100000)	JASDQU010012687.1	75000	2533	0.605946
(540,920)(231893,232404)(200000,250000)	JASDQU010012707.1	225000	382	0.056450
(501,741)(163772,191494)(150000,200000)	JASDQU010012758.1	175000	242	0.252158
(489,836)(135352,135793)(100000,150000)	JASDQU010012783.1	125000	349	0.026373
(435,1711)(157288,190073)(150000,200000)	JASDQU010012785.1	175000	1278	0.153980
(1712,1857)(207775,207936)(200000,250000)	JASDQU010012785.1	225000	147	0.056952
(1884,1960)(100540,100616)(100000,150000)	JASDQU010012792.1	125000	78	0.132741
(1961,2900)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	941	0.186906
(8,1354)(163874,196599)(150000,200000)	JASDQU010012815.1	175000	1348	0.144941
(7204,7801)(76047,76654)(50000,100000)	JASDQU010012840.1	75000	599	0.170786
(1017,1151)(95216,95353)(50000,100000)	JASDQU010012843.1	75000	136	0.026990
(2779,2859)(131613,131724)(100000,150000)	JASDQU010012850.1	125000	82	0.033307
(653,788)(199678,199813)(150000,200000)	JASDQU010012855.1	175000	137	-0.006584
(337,1199)(115883,116754)(100000,150000)	JASDQU010012909.1	125000	864	0.937008
(792,874)(100000,100082)(100000,150000)	JASDQU010012914.1	125000	84	0.016506
(1827,2655)(77381,78210)(50000,100000)	JASDQU010012940.1	75000	830	0.526263
(840,1217)(344404,344803)(300000,350000)	JASDQU010012943.1	325000	379	0.030180
(433,434)(77908,77909)(50000,100000)	JASDQU010012960.1	75000	3	0.038772
(23,31)(100264,100278)(100000,150000)	JASDQU010012973.1	125000	10	0.136102
(106,146)(153316,153393)(150000,200000)	JASDQU010012977.1	175000	42	0.052621
(219,719)(102128,109627)(100000,150000)	JASDQU010013018.1	125000	502	0.049268
(720,737)(242616,242847)(200000,250000)	JASDQU010013018.1	225000	19	0.212760
(123,125)(117929,117932)(100000,150000)	JASDQU010013026.1	125000	4	0.002367
(4266,4780)(50952,51477)(50000,100000)	JASDQU010013045.1	75000	516	0.346398
(486,741)(156295,194226)(150000,200000)	JASDQU010013080.1	175000	257	0.088920
(42,655)(170716,196361)(150000,200000)	JASDQU010013107.1	175000	615	0.289917
(42,319)(110409,110786)(100000,150000)	JASDQU010013110.1	125000	279	0.039774
(616,1076)(204752,245283)(200000,250000)	JASDQU010013133.1	225000	462	0.039732
(1512,3504)(63663,69425)(50000,100000)	JASDQU010013151.1	75000	1994	0.195393
(829,3317)(55031,67481)(50000,100000)	JASDQU010013177.1	75000	2490	0.429156
(494,1150)(72246,79590)(50000,100000)	JASDQU010013212.1	75000	658	0.122746
(762,810)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	50	0.052662
(46,1673)(184519,188682)(150000,200000)	JASDQU010013253.1	175000	1629	0.656252
(1031,1385)(183646,184624)(150000,200000)	JASDQU010013256.1	175000	356	0.072944
(110,495)(70857,71283)(50000,100000)	JASDQU010013259.1	75000	387	0.305866
(46,501)(110607,114749)(100000,150000)	JASDQU010013268.1	125000	457	0.574115
(576,1590)(74974,81901)(50000,100000)	JASDQU010013271.1	75000	1016	0.662192
(1591,1876)(161718,162105)(150000,200000)	JASDQU010013271.1	175000	287	0.030756
(1877,2272)(220007,220505)(200000,250000)	JASDQU010013271.1	225000	397	0.740958
(2161,2360)(219819,220031)(200000,250000)	JASDQU010013272.1	225000	201	0.338022
(145,162)(97686,97818)(50000,100000)	JASDQU010013282.1	75000	19	0.073241
(110,350)(118184,118558)(100000,150000)	JASDQU010013285.1	125000	242	0.631381
(838,977)(100928,127177)(100000,150000)	JASDQU010013294.1	125000	141	0.410324
(13,461)(198952,199475)(150000,200000)	JASDQU010013303.1	175000	450	0.579608
(240,932)(63206,63911)(50000,100000)	JASDQU010013315.1	75000	694	0.475098
(287,572)(60531,60918)(50000,100000)	JASDQU010013319.1	75000	287	0.514132
(704,1161)(70034,70566)(50000,100000)	JASDQU010013326.1	75000	459	0.043245
(969,1460)(163331,163864)(150000,200000)	JASDQU010013330.1	175000	493	0.509770
(115,1201)(106398,107504)(100000,150000)	JASDQU010013332.1	125000	1088	0.270505
(1899,2097)(222000,222315)(200000,250000)	JASDQU010013353.1	225000	200	0.475160
(842,1595)(114410,115246)(100000,150000)	JASDQU010013361.1	125000	755	0.363278
(216,1036)(72212,97343)(50000,100000)	JASDQU010013423.1	75000	822	0.500345
(199,303)(499892,499999)(450000,500000)	JASDQU010013459.1	475000	106	0.429369
(648,838)(75978,86538)(50000,100000)	JASDQU010013477.1	75000	192	0.023730
(839,1745)(126969,145310)(100000,150000)	JASDQU010013477.1	125000	908	0.082449
(1746,2614)(168587,199999)(150000,200000)	JASDQU010013477.1	175000	870	0.038420
(2615,4893)(200000,249425)(200000,250000)	JASDQU010013477.1	225000	2280	0.279398
(891,1118)(106954,107462)(100000,150000)	JASDQU010013500.1	125000	229	0.143120
(85,530)(293065,298031)(250000,300000)	JASDQU010013504.1	275000	447	0.103311
(3241,3358)(94390,94520)(50000,100000)	JASDQU010013573.1	75000	119	0.160962
(473,1167)(55326,89470)(50000,100000)	JASDQU010013629.1	75000	696	0.371565
(913,1996)(100272,103145)(100000,150000)	JASDQU010013654.1	125000	1085	0.287606
(251,2200)(184123,187003)(150000,200000)	JASDQU010013667.1	175000	1951	0.304514
(2589,3254)(148547,149999)(100000,150000)	JASDQU010013693.1	125000	667	0.202601
(413,899)(86598,87453)(50000,100000)	JASDQU010013698.1	75000	488	0.003451
(3075,3864)(150000,150789)(150000,200000)	JASDQU010013719.1	175000	791	0.286305
(42,2301)(203354,206642)(200000,250000)	JASDQU010013720.1	225000	2261	0.570895
(594,804)(106840,107153)(100000,150000)	JASDQU010013735.1	125000	212	0.072831
(3916,3988)(153033,153108)(150000,200000)	JASDQU010013740.1	175000	74	0.043951
(545,654)(150000,150110)(150000,200000)	JASDQU010013749.1	175000	111	0.059708
(291,1171)(80797,82372)(50000,100000)	JASDQU010013788.1	75000	882	0.378512
(312,4524)(330299,336626)(300000,350000)	JASDQU010013845.1	325000	4214	0.105985
(2806,3872)(100830,121031)(100000,150000)	JASDQU010013892.1	125000	1068	0.308184
(2090,7235)(63654,80648)(50000,100000)	JASDQU010013931.1	75000	5147	0.410218
(983,1620)(52843,58329)(50000,100000)	JASDQU010013938.1	75000	639	0.017857
(1621,1774)(123222,123384)(100000,150000)	JASDQU010013938.1	125000	155	0.592129
(264,1719)(122990,124610)(100000,150000)	JASDQU010013956.1	125000	1457	0.764207
(104,786)(237186,237959)(200000,250000)	JASDQU010013969.1	225000	684	0.087684
(436,2455)(101686,108789)(100000,150000)	JASDQU010013986.1	125000	2021	0.334441
(258,1269)(69115,70207)(50000,100000)	JASDQU010013996.1	75000	1013	-0.011209
(625,773)(149412,149575)(100000,150000)	JASDQU010014056.1	125000	150	0.059393
(774,834)(283931,284204)(250000,300000)	JASDQU010014056.1	275000	62	0.080282
(711,728)(127169,127192)(100000,150000)	JASDQU010014075.1	125000	19	-0.014452
(729,1039)(298072,298425)(250000,300000)	JASDQU010014075.1	275000	312	0.182329
(3193,3589)(100000,100430)(100000,150000)	JASDQU010014116.1	125000	398	0.763644
(661,2647)(61625,94571)(50000,100000)	JASDQU010014129.1	75000	1988	0.149177
(2648,3074)(156694,157136)(150000,200000)	JASDQU010014129.1	175000	428	0.005215
(403,803)(54294,54734)(50000,100000)	JASDQU010014170.1	75000	402	-0.017339
(195,779)(255846,256470)(250000,300000)	JASDQU010014184.1	275000	586	0.087258
(468,4119)(50000,62468)(50000,100000)	JASDQU010014202.1	75000	3653	0.382102
(100,313)(385183,391211)(350000,400000)	JASDQU010014226.1	375000	215	0.000306
(606,1529)(291280,292207)(250000,300000)	JASDQU010014236.1	275000	925	0.285810
(1530,1754)(315350,317830)(300000,350000)	JASDQU010014236.1	325000	226	0.109358
(204,412)(217143,217384)(200000,250000)	JASDQU010014249.1	225000	210	0.073269
(1147,1189)(168246,168337)(150000,200000)	JASDQU010014294.1	175000	44	0.033605
(833,1519)(156848,159476)(150000,200000)	JASDQU010014329.1	175000	688	0.072559
(381,504)(50000,50123)(50000,100000)	JASDQU010014337.1	75000	125	0.020980
(304,388)(137672,137767)(100000,150000)	JASDQU010014356.1	125000	86	-0.017131
(2041,2333)(201307,201729)(200000,250000)	JASDQU010014358.1	225000	294	0.065186
(541,924)(84164,85276)(50000,100000)	JASDQU010014364.1	75000	385	0.074679
(925,2210)(159411,160981)(150000,200000)	JASDQU010014364.1	175000	1287	0.647393
(374,2429)(106381,111751)(100000,150000)	JASDQU010014401.1	125000	2057	0.353360
(271,1041)(65776,66553)(50000,100000)	JASDQU010014404.1	75000	772	0.603558
(123,4643)(108465,123940)(100000,150000)	JASDQU010014418.1	125000	4522	0.365610
(342,1736)(157604,178885)(150000,200000)	JASDQU010014452.1	175000	1396	0.086272
(247,687)(68647,69172)(50000,100000)	JASDQU010014468.1	75000	442	0.023963
(546,766)(122047,122425)(100000,150000)	JASDQU010014488.1	125000	222	0.007525
(767,1182)(205906,206347)(200000,250000)	JASDQU010014488.1	225000	417	0.467602
(410,1241)(58633,59522)(50000,100000)	JASDQU010014504.1	75000	833	0.492864
(2030,2603)(51504,52589)(50000,100000)	JASDQU010014523.1	75000	575	0.250695
(355,769)(119312,119736)(100000,150000)	JASDQU010014528.1	125000	416	0.799048
(174,946)(247687,248697)(200000,250000)	JASDQU010014560.1	225000	774	0.332654
(1217,2810)(93672,96638)(50000,100000)	JASDQU010014564.1	75000	1595	0.674251
(540,2411)(101774,107838)(100000,150000)	JASDQU010014578.1	125000	1873	0.573108
(3150,8720)(69620,77313)(50000,100000)	JASDQU010014590.1	75000	5572	0.270211
(1014,1610)(80741,84613)(50000,100000)	JASDQU010014614.1	75000	598	0.129641
(766,2152)(171736,179601)(150000,200000)	JASDQU010014649.1	175000	1388	0.026047
(517,784)(224424,224713)(200000,250000)	JASDQU010014658.1	225000	269	0.054082
(425,557)(72191,72385)(50000,100000)	JASDQU010014738.1	75000	134	0.056110
(1181,1720)(230285,234991)(200000,250000)	JASDQU010014755.1	225000	541	0.036617
(1721,2657)(422177,423126)(400000,450000)	JASDQU010014755.1	425000	938	0.046821
(144,259)(250000,250115)(250000,300000)	JASDQU010014760.1	275000	117	0.046770
(494,1520)(63426,65392)(50000,100000)	JASDQU010014783.1	75000	1028	0.057287
(382,861)(50000,60439)(50000,100000)	JASDQU010014799.1	75000	481	0.424439
(1405,1561)(216685,216865)(200000,250000)	JASDQU010014802.1	225000	158	0.005742
(1820,2776)(131169,132134)(100000,150000)	JASDQU010014808.1	125000	958	-0.002568
(377,3329)(54512,80634)(50000,100000)	JASDQU010014811.1	75000	2954	0.276216
(185,2152)(114931,117321)(100000,150000)	JASDQU010014816.1	125000	1969	0.416779
(3019,7743)(150000,165485)(150000,200000)	JASDQU010014828.1	175000	4726	0.495192
(471,786)(277713,278100)(250000,300000)	JASDQU010014832.1	275000	317	0.770639
(1264,1448)(117228,117435)(100000,150000)	JASDQU010014837.1	125000	186	-0.011142
(360,810)(78905,96044)(50000,100000)	JASDQU010014848.1	75000	452	0.018123
(76,89)(181781,181871)(150000,200000)	JASDQU010014891.1	175000	15	0.062183
(633,1081)(117884,123328)(100000,150000)	JASDQU010014920.1	125000	450	0.035353
